DATE,CCSA
1967-01-01,1118750.000000000000
1967-02-01,1162500.000000000000
1967-03-01,1243250.000000000000
1967-04-01,1281000.000000000000
1967-05-01,1277500.000000000000
1967-06-01,1246000.000000000000
1967-07-01,1246200.000000000000
1967-08-01,1209250.000000000000
1967-09-01,1181400.000000000000
1967-10-01,1172250.000000000000
1967-11-01,1148250.000000000000
1967-12-01,1170600.000000000000
1968-01-01,1173250.000000000000
1968-02-01,1164000.000000000000
1968-03-01,1139200.000000000000
1968-04-01,1076000.000000000000
1968-05-01,1078500.000000000000
1968-06-01,1065800.000000000000
1968-07-01,1060500.000000000000
1968-08-01,1085000.000000000000
1968-09-01,1051500.000000000000
1968-10-01,1043250.000000000000
1968-11-01,1042200.000000000000
1968-12-01,1075750.000000000000
1969-01-01,1091500.000000000000
1969-02-01,1098500.000000000000
1969-03-01,1077800.000000000000
1969-04-01,1035750.000000000000
1969-05-01,1004400.000000000000
1969-06-01,1008750.000000000000
1969-07-01,1086500.000000000000
1969-08-01,1084000.000000000000
1969-09-01,1090500.000000000000
1969-10-01,1114250.000000000000
1969-11-01,1167800.000000000000
1969-12-01,1253750.000000000000
1970-01-01,1365800.000000000000
1970-02-01,1421000.000000000000
1970-03-01,1483500.000000000000
1970-04-01,1640000.000000000000
1970-05-01,1826400.000000000000
1970-06-01,1849750.000000000000
1970-07-01,1879000.000000000000
1970-08-01,1939600.000000000000
1970-09-01,2056250.000000000000
1970-10-01,2214200.000000000000
1970-11-01,2299750.000000000000
1970-12-01,2210000.000000000000
1971-01-01,2100600.000000000000
1971-02-01,2100000.000000000000
1971-03-01,2138750.000000000000
1971-04-01,2145250.000000000000
1971-05-01,2170600.000000000000
1971-06-01,2186750.000000000000
1971-07-01,2122400.000000000000
1971-08-01,2187500.000000000000
1971-09-01,2239250.000000000000
1971-10-01,2204600.000000000000
1971-11-01,2145750.000000000000
1971-12-01,2087000.000000000000
1972-01-01,1923200.000000000000
1972-02-01,1926500.000000000000
1972-03-01,1898750.000000000000
1972-04-01,1887800.000000000000
1972-05-01,1875250.000000000000
1972-06-01,1863250.000000000000
1972-07-01,1949800.000000000000
1972-08-01,1813250.000000000000
1972-09-01,1798600.000000000000
1972-10-01,1753500.000000000000
1972-11-01,1732000.000000000000
1972-12-01,1694600.000000000000
1973-01-01,1621250.000000000000
1973-02-01,1588500.000000000000
1973-03-01,1570000.000000000000
1973-04-01,1553750.000000000000
1973-05-01,1559250.000000000000
1973-06-01,1567200.000000000000
1973-07-01,1601750.000000000000
1973-08-01,1664750.000000000000
1973-09-01,1670200.000000000000
1973-10-01,1664250.000000000000
1973-11-01,1706000.000000000000
1973-12-01,1765800.000000000000
1974-01-01,1957000.000000000000
1974-02-01,2012250.000000000000
1974-03-01,2055600.000000000000
1974-04-01,2066000.000000000000
1974-05-01,2051750.000000000000
1974-06-01,2076200.000000000000
1974-07-01,2122750.000000000000
1974-08-01,2173800.000000000000
1974-09-01,2279500.000000000000
1974-10-01,2448750.000000000000
1974-11-01,2803600.000000000000
1974-12-01,3291250.000000000000
1975-01-01,3619250.000000000000
1975-02-01,3856500.000000000000
1975-03-01,4175200.000000000000
1975-04-01,4473500.000000000000
1975-05-01,4578200.000000000000
1975-06-01,4377250.000000000000
1975-07-01,4144750.000000000000
1975-08-01,3954200.000000000000
1975-09-01,3895000.000000000000
1975-10-01,3731250.000000000000
1975-11-01,3494400.000000000000
1975-12-01,3198250.000000000000
1976-01-01,3035200.000000000000
1976-02-01,2865750.000000000000
1976-03-01,2843000.000000000000
1976-04-01,2872250.000000000000
1976-05-01,2941000.000000000000
1976-06-01,2989500.000000000000
1976-07-01,2995800.000000000000
1976-08-01,3015250.000000000000
1976-09-01,3070000.000000000000
1976-10-01,3093000.000000000000
1976-11-01,3055750.000000000000
1976-12-01,2923500.000000000000
1977-01-01,2827200.000000000000
1977-02-01,2849000.000000000000
1977-03-01,2702750.000000000000
1977-04-01,2671200.000000000000
1977-05-01,2631250.000000000000
1977-06-01,2619250.000000000000
1977-07-01,2583000.000000000000
1977-08-01,2610500.000000000000
1977-09-01,2589500.000000000000
1977-10-01,2576200.000000000000
1977-11-01,2568500.000000000000
1977-12-01,2507000.000000000000
1978-01-01,2493500.000000000000
1978-02-01,2555500.000000000000
1978-03-01,2499750.000000000000
1978-04-01,2349600.000000000000
1978-05-01,2231500.000000000000
1978-06-01,2221750.000000000000
1978-07-01,2313200.000000000000
1978-08-01,2398000.000000000000
1978-09-01,2269800.000000000000
1978-10-01,2230500.000000000000
1978-11-01,2223750.000000000000
1978-12-01,2286600.000000000000
1979-01-01,2382500.000000000000
1979-02-01,2414250.000000000000
1979-03-01,2385800.000000000000
1979-04-01,2398500.000000000000
1979-05-01,2259250.000000000000
1979-06-01,2251600.000000000000
1979-07-01,2358500.000000000000
1979-08-01,2458250.000000000000
1979-09-01,2428200.000000000000
1979-10-01,2490000.000000000000
1979-11-01,2602500.000000000000
1979-12-01,2698800.000000000000
1980-01-01,2781750.000000000000
1980-02-01,2868500.000000000000
1980-03-01,2881200.000000000000
1980-04-01,3126500.000000000000
1980-05-01,3544800.000000000000
1980-06-01,3832500.000000000000
1980-07-01,3845500.000000000000
1980-08-01,3805200.000000000000
1980-09-01,3693500.000000000000
1980-10-01,3556250.000000000000
1980-11-01,3300600.000000000000
1980-12-01,3125500.000000000000
1981-01-01,3038200.000000000000
1981-02-01,2978000.000000000000
1981-03-01,2899250.000000000000
1981-04-01,2857000.000000000000
1981-05-01,2904000.000000000000
1981-06-01,2903250.000000000000
1981-07-01,2883000.000000000000
1981-08-01,2948400.000000000000
1981-09-01,3013000.000000000000
1981-10-01,3127000.000000000000
1981-11-01,3337250.000000000000
1981-12-01,3525250.000000000000
1982-01-01,3533600.000000000000
1982-02-01,3555500.000000000000
1982-03-01,3655500.000000000000
1982-04-01,3864500.000000000000
1982-05-01,3991800.000000000000
1982-06-01,4094250.000000000000
1982-07-01,4101400.000000000000
1982-08-01,4260250.000000000000
1982-09-01,4452750.000000000000
1982-10-01,4639600.000000000000
1982-11-01,4601000.000000000000
1982-12-01,4400000.000000000000
1983-01-01,3919000.000000000000
1983-02-01,3859250.000000000000
1983-03-01,3767500.000000000000
1983-04-01,3760200.000000000000
1983-05-01,3624250.000000000000
1983-06-01,3455500.000000000000
1983-07-01,3189600.000000000000
1983-08-01,3105750.000000000000
1983-09-01,3007000.000000000000
1983-10-01,2902800.000000000000
1983-11-01,2787750.000000000000
1983-12-01,2712200.000000000000
1984-01-01,2549250.000000000000
1984-02-01,2469500.000000000000
1984-03-01,2424400.000000000000
1984-04-01,2422250.000000000000
1984-05-01,2385000.000000000000
1984-06-01,2360400.000000000000
1984-07-01,2353000.000000000000
1984-08-01,2385750.000000000000
1984-09-01,2434800.000000000000
1984-10-01,2524000.000000000000
1984-11-01,2584250.000000000000
1984-12-01,2547000.000000000000
1985-01-01,2552250.000000000000
1985-02-01,2623500.000000000000
1985-03-01,2564400.000000000000
1985-04-01,2578750.000000000000
1985-05-01,2560750.000000000000
1985-06-01,2551800.000000000000
1985-07-01,2542500.000000000000
1985-08-01,2562600.000000000000
1985-09-01,2580500.000000000000
1985-10-01,2631750.000000000000
1985-11-01,2625200.000000000000
1985-12-01,2643750.000000000000
1986-01-01,2604000.000000000000
1986-02-01,2568500.000000000000
1986-03-01,2593600.000000000000
1986-04-01,2608750.000000000000
1986-05-01,2671000.000000000000
1986-06-01,2635000.000000000000
1986-07-01,2608000.000000000000
1986-08-01,2655600.000000000000
1986-09-01,2707000.000000000000
1986-10-01,2718750.000000000000
1986-11-01,2630800.000000000000
1986-12-01,2571250.000000000000
1987-01-01,2512400.000000000000
1987-02-01,2472000.000000000000
1987-03-01,2429250.000000000000
1987-04-01,2411000.000000000000
1987-05-01,2324000.000000000000
1987-06-01,2279000.000000000000
1987-07-01,2196500.000000000000
1987-08-01,2211600.000000000000
1987-09-01,2196750.000000000000
1987-10-01,2046800.000000000000
1987-11-01,2082250.000000000000
1987-12-01,2115500.000000000000
1988-01-01,2188000.000000000000
1988-02-01,2141500.000000000000
1988-03-01,2112000.000000000000
1988-04-01,2081200.000000000000
1988-05-01,2067750.000000000000
1988-06-01,2043000.000000000000
1988-07-01,2065200.000000000000
1988-08-01,2088000.000000000000
1988-09-01,2075750.000000000000
1988-10-01,2015600.000000000000
1988-11-01,1978250.000000000000
1988-12-01,2045200.000000000000
1989-01-01,2061000.000000000000
1989-02-01,2113750.000000000000
1989-03-01,2131500.000000000000
1989-04-01,2098800.000000000000
1989-05-01,2093500.000000000000
1989-06-01,2122750.000000000000
1989-07-01,2179400.000000000000
1989-08-01,2207250.000000000000
1989-09-01,2208800.000000000000
1989-10-01,2281000.000000000000
1989-11-01,2285000.000000000000
1989-12-01,2285000.000000000000
1990-01-01,2354750.000000000000
1990-02-01,2354000.000000000000
1990-03-01,2363800.000000000000
1990-04-01,2380250.000000000000
1990-05-01,2390000.000000000000
1990-06-01,2423800.000000000000
1990-07-01,2471750.000000000000
1990-08-01,2509250.000000000000
1990-09-01,2595400.000000000000
1990-10-01,2720750.000000000000
1990-11-01,2888250.000000000000
1990-12-01,2968200.000000000000
1991-01-01,3088000.000000000000
1991-02-01,3262750.000000000000
1991-03-01,3419000.000000000000
1991-04-01,3483250.000000000000
1991-05-01,3486750.000000000000
1991-06-01,3426800.000000000000
1991-07-01,3307500.000000000000
1991-08-01,3291800.000000000000
1991-09-01,3296250.000000000000
1991-10-01,3311000.000000000000
1991-11-01,3310600.000000000000
1991-12-01,3349250.000000000000
1992-01-01,3353250.000000000000
1992-02-01,3314600.000000000000
1992-03-01,3312000.000000000000
1992-04-01,3343750.000000000000
1992-05-01,3344800.000000000000
1992-06-01,3289750.000000000000
1992-07-01,3217750.000000000000
1992-08-01,3250200.000000000000
1992-09-01,3204250.000000000000
1992-10-01,3062400.000000000000
1992-11-01,2949000.000000000000
1992-12-01,2823750.000000000000
1993-01-01,2713000.000000000000
1993-02-01,2641000.000000000000
1993-03-01,2687500.000000000000
1993-04-01,2775500.000000000000
1993-05-01,2778400.000000000000
1993-06-01,2812000.000000000000
1993-07-01,2782800.000000000000
1993-08-01,2803250.000000000000
1993-09-01,2826000.000000000000
1993-10-01,2825000.000000000000
1993-11-01,2800750.000000000000
1993-12-01,2762250.000000000000
1994-01-01,2709600.000000000000
1994-02-01,2792500.000000000000
1994-03-01,2754500.000000000000
1994-04-01,2736600.000000000000
1994-05-01,2752750.000000000000
1994-06-01,2720000.000000000000
1994-07-01,2659600.000000000000
1994-08-01,2647500.000000000000
1994-09-01,2629250.000000000000
1994-10-01,2574000.000000000000
1994-11-01,2532250.000000000000
1994-12-01,2528800.000000000000
1995-01-01,2512500.000000000000
1995-02-01,2522500.000000000000
1995-03-01,2531250.000000000000
1995-04-01,2519400.000000000000
1995-05-01,2573000.000000000000
1995-06-01,2606750.000000000000
1995-07-01,2622800.000000000000
1995-08-01,2607250.000000000000
1995-09-01,2626800.000000000000
1995-10-01,2663250.000000000000
1995-11-01,2672000.000000000000
1995-12-01,2612600.000000000000
1996-01-01,2648750.000000000000
1996-02-01,2692750.000000000000
1996-03-01,2685000.000000000000
1996-04-01,2633500.000000000000
1996-05-01,2590500.000000000000
1996-06-01,2548000.000000000000
1996-07-01,2490000.000000000000
1996-08-01,2494400.000000000000
1996-09-01,2473000.000000000000
1996-10-01,2460250.000000000000
1996-11-01,2428600.000000000000
1996-12-01,2487750.000000000000
1997-01-01,2487750.000000000000
1997-02-01,2415000.000000000000
1997-03-01,2347600.000000000000
1997-04-01,2324250.000000000000
1997-05-01,2302800.000000000000
1997-06-01,2295500.000000000000
1997-07-01,2269500.000000000000
1997-08-01,2272400.000000000000
1997-09-01,2234750.000000000000
1997-10-01,2215500.000000000000
1997-11-01,2215000.000000000000
1997-12-01,2235250.000000000000
1998-01-01,2275200.000000000000
1998-02-01,2224250.000000000000
1998-03-01,2221750.000000000000
1998-04-01,2182500.000000000000
1998-05-01,2134600.000000000000
1998-06-01,2214250.000000000000
1998-07-01,2333750.000000000000
1998-08-01,2237600.000000000000
1998-09-01,2153000.000000000000
1998-10-01,2164400.000000000000
1998-11-01,2203750.000000000000
1998-12-01,2220250.000000000000
1999-01-01,2287200.000000000000
1999-02-01,2240500.000000000000
1999-03-01,2227000.000000000000
1999-04-01,2237500.000000000000
1999-05-01,2214400.000000000000
1999-06-01,2192250.000000000000
1999-07-01,2193200.000000000000
1999-08-01,2180250.000000000000
1999-09-01,2162000.000000000000
1999-10-01,2102800.000000000000
1999-11-01,2085750.000000000000
1999-12-01,2097250.000000000000
2000-01-01,2109800.000000000000
2000-02-01,2147500.000000000000
2000-03-01,2079000.000000000000
2000-04-01,2015400.000000000000
2000-05-01,1989500.000000000000
2000-06-01,2028250.000000000000
2000-07-01,2085600.000000000000
2000-08-01,2117250.000000000000
2000-09-01,2119600.000000000000
2000-10-01,2116250.000000000000
2000-11-01,2211250.000000000000
2000-12-01,2306400.000000000000
2001-01-01,2395750.000000000000
2001-02-01,2486500.000000000000
2001-03-01,2585400.000000000000
2001-04-01,2697250.000000000000
2001-05-01,2819250.000000000000
2001-06-01,2947400.000000000000
2001-07-01,3030750.000000000000
2001-08-01,3120000.000000000000
2001-09-01,3262200.000000000000
2001-10-01,3527500.000000000000
2001-11-01,3656500.000000000000
2001-12-01,3589400.000000000000
2002-01-01,3550500.000000000000
2002-02-01,3554250.000000000000
2002-03-01,3610800.000000000000
2002-04-01,3689250.000000000000
2002-05-01,3712000.000000000000
2002-06-01,3635200.000000000000
2002-07-01,3504250.000000000000
2002-08-01,3516800.000000000000
2002-09-01,3555000.000000000000
2002-10-01,3555750.000000000000
2002-11-01,3482400.000000000000
2002-12-01,3482750.000000000000
2003-01-01,3414500.000000000000
2003-02-01,3437000.000000000000
2003-03-01,3540800.000000000000
2003-04-01,3629750.000000000000
2003-05-01,3719200.000000000000
2003-06-01,3701500.000000000000
2003-07-01,3616250.000000000000
2003-08-01,3596400.000000000000
2003-09-01,3575750.000000000000
2003-10-01,3486250.000000000000
2003-11-01,3373400.000000000000
2003-12-01,3270250.000000000000
2004-01-01,3148200.000000000000
2004-02-01,3114750.000000000000
2004-03-01,3046250.000000000000
2004-04-01,3000750.000000000000
2004-05-01,2975600.000000000000
2004-06-01,2950750.000000000000
2004-07-01,2917000.000000000000
2004-08-01,2891500.000000000000
2004-09-01,2862750.000000000000
2004-10-01,2778000.000000000000
2004-11-01,2734500.000000000000
2004-12-01,2719000.000000000000
2005-01-01,2723800.000000000000
2005-02-01,2686500.000000000000
2005-03-01,2659500.000000000000
2005-04-01,2604400.000000000000
2005-05-01,2586250.000000000000
2005-06-01,2600000.000000000000
2005-07-01,2595200.000000000000
2005-08-01,2580750.000000000000
2005-09-01,2716500.000000000000
2005-10-01,2803400.000000000000
2005-11-01,2701250.000000000000
2005-12-01,2639400.000000000000
2006-01-01,2557000.000000000000
2006-02-01,2507250.000000000000
2006-03-01,2455500.000000000000
2006-04-01,2401000.000000000000
2006-05-01,2383750.000000000000
